Date,Buy Price
2023-09-27,171.51
2023-09-28,169.60
2023-09-29,172.68
2023-10-02,173.35
2023-10-03,171.18
2023-10-04,172.39
2023-10-05,173.68
2023-10-06,174.80
2023-10-09,176.89
2023-10-10,179.18
2023-10-11,178.28
2023-10-12,181.72
2023-10-13,180.53
2023-10-16,178.44
2023-10-17,176.42
2023-10-18,176.61
2023-10-19,176.27
2023-10-20,174.24
2023-10-23,171.61
2023-10-24,172.83
2023-10-25,172.12
2023-10-26,178.66
2023-10-27,168.16
